age,salary,tenure_years,has_dependents_binary,salary_per_tenure,gender_Male,gender_Other,marital_status_Married,marital_status_Single,marital_status_Widowed,employment_type_Full-time,employment_type_Part-time,region_Northeast,region_South,region_West,has_dependents_Yes,age_group_Middle,age_group_Senior,age_group_Veteran,salary_bin_Medium,salary_bin_High,salary_bin_Very High,tenure_category_Intermediate,tenure_category_Experienced,tenure_category_Veteran
1.5469188334042148,-1.4019514946476634,0.10926992819916904,1,-0.7916756654370748,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0.16337969528128168,1.6126019102137357,-0.9045421049621554,0,1.8956736777339864,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.139995557485705,-0.02192790353798779,2.136893994521818,0,-1.0494106198803346,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
-0.8132361669231417,-0.05796002627955903,0.36272293648950016,1,-0.7366757660678432,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0
0.4889183160160895,0.9997203289818702,-0.14418308009116207,0,-0.13377328172664843,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
0.24476435046498363,-0.44907966028443574,-0.14418308009116207,0,-0.49934996710800905,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0.4075336608323875,-0.0937908522460377,-0.6510890966718242,1,0.53331630490532,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
-1.0573901324742474,-0.4548501678370896,0.6161759447798313,1,-0.869736060730177,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1.7096881437716187,0.7050218502463379,0.6161759447798313,1,-0.7233574047856078,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
-1.3829287532090553,-0.48323301312514294,-0.6510890966718242,1,-0.062002112594601914,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-1.0573901324742474,0.9355066577273383,-0.39763608838149317,1,0.09652338211200598,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
1.0586109023020032,-0.5948856243764922,-0.39763608838149317,0,-0.39977055289129504,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
-0.4876975461883339,1.7007027987792536,-0.6510890966718242,1,0.5860964773941789,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
0.32614900564868554,-0.531208744522207,0.36272293648950016,1,-0.8105433439202416,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
0.08199504009757973,-0.06252275318165744,-0.9045421049621554,0,1.4888470678257022,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0.16337969528128168,-1.3066039221788128,0.36272293648950016,1,-0.923071164939129,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1.2213802126694069,0.4296478619196928,-0.9045421049621554,0,2.3366594179680042,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0.0006103849138777877,0.5343892838928636,0.10926992819916904,0,-0.5464575042359159,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
0.5703029711997915,-0.014144428234408153,0.36272293648950016,1,-0.7483909912698097,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
-0.32492823582093,1.3986234382903266,-0.9045421049621554,1,2.1955834429043253,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
